identifier	dna_number	gene_name	forward_primers	reverse_primers
SEQID00002888	2706	28S	D1	D3
SEQID00001273	1406	28S	D1	D3
SEQID00001448	0387	CAD	C806F3, CD439F	C1129R, CD668R
SEQID00003917	0896	28S	D1, D1	D33-, D3
SEQID00003411	2663	ARGK	AK168F	AK939R
SEQID00004340	1288	TOPO	TP675F	TP932R
SEQID00000855	1865	COI	JER, B1490	B2232, PAT
SEQID00004243	0365	18S		
SEQID00004225	1768	ARGK	AK183F, AK183F	AK933R, AK933R
SEQID00002210	2786	WG	WG578F	WGABR
SEQID00001682	1245	COI	JER, B1490	PAT, B2232
SEQID00002480	3984	18S		
SEQID00003404	1965	COI	LC1490	HC2198
SEQID00002671	1979	28S	D1	D3
SEQID00004226	1637	CAD	338F, 581F4, 806F	843R, 680R2, 1098R
SEQID00005280	1131	WG	WG578F	WGABR
SEQID00003927	1849	COI	B1490, JER	B2232, PAT
SEQID00006213	2795	28S	NLF184	D3AR
SEQID00006445	1743	COI	LC1490	HC2198
SEQID00000184	1805	POL2	PL859F	P1097R
SEQID00006381	1602	CAD	806F, 581F4, 338F	1098R, 680R2, 843R
SEQID00004137	3515	WG	WG578F	WGABR
SEQID00004008	1407	WG	WG578F	WGABR
SEQID00004314	3079	TOPO	TP675F	TP932R
SEQID00004766	2926	28S	NLF184	D3AR
SEQID00004338	1714	WG	B5WG1, WG578F	B3WG2, WGABR
SEQID00001943	1689	WG	WG578F, TRWG1F	BWGA2R, WGABR
SEQID00004265	1504	28S	D1	D3
SEQID00000974	1327	COI	LC1490	HC2198
SEQID00003303	2862	WG	WG578F	WGABR
SEQID00000187	1037	WG		WG2, WGB
SEQID00003791	0773	28S	D1	D33-
SEQID00001397	1566	WG	5WGB	B3WG2
SEQID00004071	2006	COI	LC1490	HC2198
SEQID00006653	3023	28S	NLF184	D3AR
SEQID00001220	1801	COI	B1490, B1490	BCOI2R, BCOI2R
SEQID00005305	2279	CAD	C806F3, CD821F, CD439F	CD668R, C1129R, C1231R
SEQID00005135	1216	28S	D1	D3
SEQID00005697	2807	WG	WG578F, WG550F	WGABRZ, WGABR
SEQID00001565	0967	18S	515F, 18SAI, 18SBI, 518S	18L, 519R
SEQID00000384	1129	CAD	806F	1098R
SEQID00000622	1939	TOPO	TP675F	TP932R
SEQID00001442	1602	18S	760F, 18SAI, 518S, 18SBI	909R, 18L
SEQID00000393	2148	28S	D1	D3
SEQID00002165	1704	ARGK	AK270F	AK950R
SEQID00004017	1840	18S	18SAI, 18SBI, 760F, 518S	909R, 18L
SEQID00003969	1433	28S	D1	D3
SEQID00000883	1320	CAD	791F2, CD439F	1098R, CD668R
SEQID00003601	1927	TOPO	TP675F, TP675F	TP932R, TP932R
SEQID00002839	2056	COI	B1490	BCOI2R
SEQID00005966	2845	28S	D1	D3
SEQID00000425	2172	TOPO	TP675F	TP932R
SEQID00001168	3242	WG	WG578F	WGABR
SEQID00004677	1780	28S	NLF184	D3AR
SEQID00001889	2905	ARGK	AK183F	AK933R
SEQID00000103	1162	COI	JER, LC1490	HC2198, PAT
